,DTP_1,DTS_1,GR_1,MD_1,NPHI_1,RT_1,RHOB_1
394,86.72185,,79.82274,196.98386,,12.734367,2.4943352
395,88.53343,,86.78567,197.5074,,18.833157,2.4524643
396,92.46883,,93.08566,197.97623,,20.56803,2.460856
397,94.5726,,97.9704,198.50078,,16.566183,2.464428
398,90.23438,,91.013016,199.02545,,20.461573,2.4660053
399,87.46357,,83.32679,199.49422,,26.2484,2.4764357
400,91.6109,,77.8966,200.01775,,22.793135,2.4077039
401,98.29617,,73.774796,200.48824,,14.0256,2.3059468
402,101.94526,,65.674255,201.0116,,11.977942,2.2464688
403,102.76929,,64.155075,201.48105,,11.229401,2.2254646
404,103.07729,,65.36845,202.00449,,12.627533,2.2073374
405,102.64685,,70.15016,202.52783,,14.994987,2.2069173
406,101.96597,,75.21875,202.99776,,19.794043,2.2388973
407,102.02475,,72.747826,203.52023,,22.8123,2.2541428
408,102.658745,,71.28219,203.99121,,17.15165,2.2357414
409,100.7287,,84.77464,204.51468,,14.521871,2.3338275
410,99.5385,,100.87228,204.9839,,13.706643,2.4434953
411,99.46752,,108.20274,205.5077,,12.316349,2.468236
412,96.776245,,97.64801,205.97794,,12.141366,2.4214168
413,94.45888,,85.36937,206.50151,,10.638144,2.4140038
414,96.224205,,84.7734,206.97005,,8.742499,2.4571528
415,98.98082,,101.25141,207.49518,,6.625667,2.487501
416,97.52517,,109.62771,208.01926,,6.1906857,2.4727492
417,97.8724,,103.78599,208.48836,,6.217486,2.4622884
418,101.134796,,107.071434,209.01183,,6.13665,2.4764612
419,100.05161,,108.74185,209.48264,,6.86705,2.4855464
420,98.196976,,104.24249,210.00542,,9.627113,2.4947817
421,97.34773,,106.37987,210.47519,,10.614115,2.4811447
422,94.999725,,105.44673,210.99855,,12.466367,2.448933
423,93.70911,,95.76326,211.52194,,14.876414,2.4275842
424,93.54726,,91.88383,211.99156,,14.994415,2.420653
425,92.50568,,90.64371,212.51465,,14.797301,2.4526932
426,91.860275,,91.40908,212.98528,,12.420867,2.4743814
427,94.35245,,95.9111,213.50879,,8.744472,2.4666839
428,97.29484,,91.46523,213.9777,,8.786514,2.4120357
429,98.17208,,74.33353,214.50212,,11.396,2.3148265
430,95.692894,,79.959465,215.02693,,10.064458,2.3411314
431,90.53257,,86.540825,215.49564,,13.747329,2.4370022
432,88.83649,,75.88661,216.01917,,19.420465,2.4368603
433,95.16771,,72.230255,216.48958,,13.5974,2.3448267
434,95.740906,,81.94313,217.01308,,9.370101,2.346618
435,93.69599,,88.5212,217.48245,,9.29293,2.4054132
436,100.93042,,101.62243,218.00589,,6.1111503,2.4616013
437,107.10457,,115.41256,218.52925,,4.9606004,2.4086995
438,102.52319,,100.71576,218.99922,,9.437086,2.331749
439,96.71478,,76.06807,219.52155,,12.894883,2.3019278
440,96.99158,,74.90686,219.9926,,11.516434,2.2919672
441,99.552666,,78.02386,220.51608,,11.401544,2.295919
442,103.986595,,92.986176,220.98538,,10.021943,2.3492298
443,104.04016,,110.65623,221.50902,,9.52195,2.4457622
444,96.11144,,96.59622,221.97934,,14.919498,2.4440947
445,92.47501,,81.80045,222.50293,,18.828772,2.4087825
446,94.621506,,89.69984,222.97153,,16.7087,2.4386888
447,95.6845,,90.4655,223.49649,,12.836166,2.4170597
448,95.082306,,77.34182,224.0207,,11.078543,2.348742
449,95.41107,,76.408356,224.48978,,11.393571,2.330214
450,96.16652,,71.723885,225.01326,,10.81485,2.3034494
451,96.33319,,64.78218,225.48396,,9.707618,2.2771256
452,97.810905,,73.55226,226.00687,,14.689443,2.3241532
453,97.873184,,85.05349,226.47661,,18.182814,2.3885882
454,93.11476,,82.20496,226.99997,,22.559732,2.4043088
